-183.024, 72.380, 2.243,  4.603
-183.019, 72.306, 2.250,  4.636
-183.013, 72.231, 2.257,  4.669
-183.007, 72.155, 2.264,  4.702
-183.001, 72.080, 2.272,  4.735
-182.995, 72.004, 2.280,  4.768
-182.989, 71.928, 2.287,  4.801
-182.983, 71.852, 2.294,  4.834
-182.977, 71.776, 2.302,  4.867
-182.972, 71.699, 2.309,  4.900
-182.966, 71.622, 2.317,  4.933
-182.960, 71.545, 2.325,  4.966
-182.955, 71.467, 2.332,  4.999
-182.949, 71.390, 2.340,  5.032
-182.943, 71.312, 2.348,  5.065
-182.937, 71.233, 2.355,  5.098
-182.931, 71.155, 2.363,  5.131
-182.925, 71.076, 2.371,  5.164
-182.920, 70.997, 2.379,  5.197
-182.914, 70.918, 2.387,  5.230
-182.908, 70.838, 2.394,  5.263
-182.902, 70.758, 2.402,  5.296
-182.897, 70.678, 2.410,  5.329
-182.891, 70.598, 2.418,  5.362
-182.885, 70.517, 2.426,  5.395
-182.880, 70.437, 2.434,  5.428
-182.874, 70.355, 2.441,  5.461
-182.868, 70.274, 2.449,  5.494
-182.862, 70.192, 2.457,  5.527
-182.856, 70.111, 2.465,  5.560
-182.851, 70.028, 2.473,  5.593
-182.845, 69.946, 2.482,  5.626
-182.839, 69.863, 2.490,  5.659
-182.833, 69.780, 2.497,  5.692
-182.828, 69.697, 2.506,  5.725
-182.822, 69.613, 2.515,  5.758
-182.816, 69.529, 2.522,  5.791
-182.811, 69.445, 2.531,  5.824
-182.805, 69.361, 2.539,  5.857
-182.799, 69.276, 2.548,  5.890
-182.794, 69.191, 2.555,  5.923
-182.788, 69.106, 2.563,  5.956
-182.782, 69.021, 2.572,  5.989
-182.776, 68.935, 2.581,  6.022
-182.771, 68.849, 2.590,  6.055
-182.765, 68.763, 2.598,  6.088
-182.759, 68.676, 2.606,  6.121
-182.754, 68.589, 2.615,  6.154
-182.748, 68.502, 2.624,  6.187
-182.743, 68.414, 2.631,  6.220
-182.737, 68.327, 2.640,  6.253
-182.731, 68.239, 2.649,  6.286
-182.726, 68.150, 2.658,  6.319
-182.720, 68.062, 2.666,  6.352
-182.714, 67.973, 2.675,  6.385
-182.708, 67.883, 2.684,  6.418
-182.703, 67.794, 2.693,  6.451
-182.697, 67.704, 2.702,  6.484
-182.692, 67.614, 2.710,  6.517
-182.686, 67.524, 2.720,  6.550
-182.681, 67.433, 2.728,  6.583
-182.675, 67.342, 2.737,  6.616
-182.670, 67.251, 2.746,  6.649
-182.664, 67.159, 2.755,  6.682
-182.658, 67.067, 2.765,  6.715
-182.653, 66.975, 2.773,  6.748
-182.647, 66.882, 2.782,  6.781
-182.641, 66.790, 2.792,  6.814
-182.636, 66.696, 2.801,  6.847
-182.630, 66.603, 2.810,  6.880
-182.624, 66.509, 2.819,  6.913
-182.619, 66.415, 2.828,  6.946
-182.613, 66.321, 2.837,  6.979
-182.607, 66.226, 2.847,  7.012
-182.601, 66.131, 2.856,  7.045
-182.595, 66.036, 2.866,  7.078
-182.590, 65.940, 2.876,  7.111
-182.584, 65.845, 2.884,  7.144
-182.578, 65.748, 2.894,  7.177
-182.572, 65.652, 2.903,  7.210
-182.567, 65.555, 2.913,  7.243
-182.561, 65.458, 2.923,  7.276
-182.555, 65.360, 2.931,  7.309
-182.550, 65.262, 2.941,  7.342
-182.544, 65.164, 2.952,  7.375
-182.538, 65.066, 2.962,  7.408
-182.533, 64.967, 2.971,  7.441
-182.527, 64.868, 2.980,  7.474
-182.521, 64.769, 2.989,  7.507
-182.515, 64.669, 3.000,  7.540
-182.510, 64.569, 3.010,  7.573
-182.504, 64.468, 3.020,  7.606
-182.499, 64.367, 3.030,  7.639
-182.493, 64.266, 3.041,  7.672
-182.487, 64.165, 3.051,  7.705
-182.482, 64.063, 3.060,  7.738
-182.476, 63.961, 3.069,  7.771
-182.471, 63.859, 3.080,  7.804
-182.465, 63.756, 3.091,  7.837
-182.459, 63.653, 3.101,  7.870
-182.454, 63.549, 3.110,  7.903
-182.448, 63.445, 3.120,  7.936
-182.443, 63.341, 3.131,  7.969
-182.437, 63.237, 3.142,  8.002
-182.432, 63.132, 3.152,  8.035
-182.426, 63.027, 3.161,  8.068
-182.421, 62.921, 3.172,  8.101
-182.415, 62.815, 3.184,  8.134
-182.410, 62.709, 3.193,  8.167
-182.404, 62.603, 3.204,  8.200
-182.399, 62.496, 3.214,  8.233
-182.393, 62.388, 3.225,  8.266
-182.388, 62.281, 3.236,  8.299
-182.383, 62.173, 3.247,  8.332
-182.377, 62.064, 3.257,  8.365
-182.372, 61.956, 3.267,  8.398
-182.367, 61.847, 3.279,  8.431
-182.361, 61.737, 3.290,  8.464
-182.356, 61.627, 3.299,  8.497
-182.350, 61.517, 3.309,  8.530
-182.345, 61.407, 3.322,  8.563
-182.340, 61.296, 3.334,  8.596
-182.334, 61.185, 3.344,  8.629
-182.329, 61.073, 3.353,  8.662
-182.324, 60.961, 3.365,  8.695
-182.319, 60.849, 3.377,  8.728
-182.313, 60.736, 3.389,  8.761
-182.308, 60.623, 3.399,  8.794
-182.303, 60.510, 3.408,  8.827
-182.297, 60.396, 3.421,  8.860
-182.292, 60.281, 3.434,  8.893
-182.287, 60.167, 3.445,  8.926
-182.282, 60.052, 3.454,  8.959
-182.277, 59.937, 3.466,  8.992
-182.272, 59.821, 3.478,  9.025
-182.267, 59.705, 3.490,  9.058
-182.261, 59.588, 3.501,  9.091
-182.256, 59.471, 3.512,  9.124
-182.251, 59.354, 3.524,  9.157
-182.246, 59.236, 3.536,  9.190
-182.241, 59.118, 3.548,  9.223
-182.236, 59.000, 3.560,  9.256
-182.231, 58.881, 3.571,  9.289
-182.226, 58.762, 3.582,  9.322
-182.221, 58.642, 3.594,  9.355
-182.216, 58.522, 3.607,  9.388
-182.211, 58.402, 3.618,  9.421
-182.206, 58.281, 3.629,  9.454
-182.201, 58.160, 3.641,  9.487
-182.196, 58.038, 3.654,  9.520
-182.191, 57.916, 3.667,  9.553
-182.186, 57.794, 3.678,  9.586
-182.181, 57.671, 3.689,  9.619
-182.176, 57.548, 3.702,  9.652
-182.171, 57.424, 3.715,  9.685
-182.166, 57.300, 3.727,  9.718
-182.162, 57.176, 3.739,  9.751
-182.157, 57.051, 3.751,  9.784
-182.152, 56.926, 3.764,  9.817
-182.147, 56.800, 3.776,  9.850
-182.142, 56.674, 3.789,  9.883
-182.138, 56.547, 3.802,  9.916
-182.133, 56.420, 3.814,  9.949
-182.128, 56.293, 3.826,  9.982
-182.123, 56.165, 3.839, 10.015
-182.118, 56.037, 3.852, 10.048
-182.114, 55.908, 3.865, 10.081
-182.109, 55.779, 3.877, 10.114
-182.104, 55.650, 3.888, 10.147
-182.100, 55.520, 3.901, 10.180
-182.095, 55.390, 3.916, 10.213
-182.090, 55.259, 3.930, 10.246
-182.086, 55.128, 3.942, 10.279
-182.081, 54.996, 3.953, 10.312
-182.077, 54.864, 3.967, 10.345
-182.072, 54.731, 3.981, 10.378
-182.067, 54.599, 3.994, 10.411
-182.063, 54.465, 4.007, 10.444
-182.058, 54.331, 4.019, 10.477
-182.054, 54.197, 4.032, 10.510
-182.049, 54.062, 4.046, 10.543
-182.045, 53.927, 4.060, 10.576
-182.040, 53.792, 4.073, 10.609
-182.036, 53.656, 4.085, 10.642
-182.031, 53.519, 4.099, 10.675
-182.027, 53.382, 4.113, 10.708
-182.022, 53.245, 4.127, 10.741
-182.018, 53.107, 4.140, 10.774
-182.013, 52.969, 4.154, 10.807
-182.009, 52.830, 4.167, 10.840
-182.005, 52.691, 4.180, 10.873
-182.000, 52.551, 4.194, 10.906
-181.996, 52.411, 4.209, 10.939
-181.992, 52.271, 4.223, 10.972
-181.987, 52.130, 4.236, 11.005
-181.983, 51.988, 4.249, 11.038
-181.979, 51.846, 4.263, 11.071
-181.975, 51.704, 4.279, 11.104
-181.971, 51.561, 4.293, 11.137
-181.966, 51.417, 4.307, 11.170
-181.962, 51.274, 4.320, 11.203
-181.958, 51.129, 4.335, 11.236
-181.954, 50.984, 4.350, 11.269
-181.949, 50.839, 4.364, 11.302
-181.945, 50.693, 4.378, 11.335
-181.941, 50.547, 4.392, 11.368
-181.937, 50.400, 4.407, 11.401
-181.933, 50.253, 4.422, 11.434
-181.929, 50.106, 4.435, 11.467
-181.925, 49.957, 4.449, 11.500
-181.921, 49.809, 4.465, 11.533
-181.917, 49.660, 4.480, 11.566
-181.913, 49.510, 4.495, 11.599
-181.909, 49.360, 4.509, 11.632
-181.905, 49.209, 4.524, 11.665
-181.901, 49.058, 4.539, 11.698
-181.897, 48.906, 4.554, 11.731
-181.893, 48.754, 4.569, 11.764
-181.889, 48.602, 4.584, 11.797
